month,Unnamed: 0,bank_name,inward_interbank_volume,inward_costumer_volume,inward_total_volume,inward_percentage_volume,inward_interbank_amt,inward_costumer_amt,inward_total_amt,inward_percentage_amt,outward_interbank_volume,outward_costumer_volume,outward_total_volume,outward_percentage_volume,outward_interbank_amt,outward_costumer_amt,outward_total_amt,outward_percentage_amt,outward_inward_ratio
2019-02-01,20016,Barclays Bank Plc,721,1793,2514,0.02,2404047.12,611400.76,3015447.89,0.27,947,3138,4085,0.04,2138624.31,966717.86,3105342.17,0.28,1.0298112530142247
2019-02-01,20017,Bassein Catholic Co-Operative Bank Ltd.,58,3246,3304,0.03,1975.43,363502.45,365477.88,0.03,2,4468,4470,0.04,59.06,369755.36,369814.42,0.03,1.011865396614427
2019-02-01,20018,"Bhagini Nivedita Sahakari Bank Ltd, Pune",0,38,38,0.0,55675.56,1193.13,1193.13,0.0,0,442,442,0.0,104583.235,3257.28,3257.28,0.0,2.730029418420457
2019-02-01,20019,Bharat Co-Operative Bank (Mumbai) Ltd.,80,10226,10306,0.09,942.9,123766.14,124709.04,0.01,27,11566,11593,0.1,698.86,130690.36,131389.22,0.01,1.0535661247973684
2019-02-01,20022,Capital Small Finance Bank Limited,657,5349,6006,0.05,4913.98,56532.87,61446.85,0.01,187,8405,8592,0.08,1229.12,69038.29,70267.41,0.01,1.1435477978122557
2019-02-01,20023,Catholic Syrian Bank Ltd,1336,8657,9993,0.09,43128.94,110634.06,153763.0,0.01,1280,9946,11226,0.1,27097.95,138738.39,165836.34,0.01,1.078519149600359
2019-02-01,20026,Citizen Credit Co-Op Bank Ltd.,2,972,974,0.01,0.56,24515.03,24515.59,0.0,1,793,794,0.01,3.0,22253.69,22256.69,0.0,0.9078586319970271
2019-02-01,20027,City Union Bank,2326,60481,62807,0.57,91660.5,754748.36,846408.86,0.08,950,71144,72094,0.65,25021.52,858324.03,883345.55,0.08,1.0436392998060064
2019-02-01,20029,Cooperatieve Rabobank U.A.,17,292,309,0.0,18110.64,139986.77,158097.41,0.01,48,243,291,0.0,27444.24,195221.43,222665.66,0.02,1.4084080188283918
2019-02-01,20031,Cosmos Co-Operative Bank,71,18058,18129,0.16,4772.43,309253.87,314026.31,0.03,42,14783,14825,0.13,1866.27,268683.03,270549.3,0.02,0.8615497854303991
2019-02-01,20032,Credit Agricole Corporate And Investment Bank,207,517,724,0.01,1675133.65,458685.89,2133819.54,0.19,259,403,662,0.01,1793331.58,387369.95,2180701.53,0.19,1.0219709254326164
2019-02-01,20033,Credit Suisse Ag,0,61,61,0.0,55675.56,86368.44,86368.44,0.01,2,46,48,0.0,190.7,216364.32,216555.02,0.02,2.507339718072944
2019-02-01,20034,Ctbc Bank Co. Ltd.,59,172,231,0.0,171488.73,50591.02,222079.75,0.02,64,260,324,0.0,165302.37,81740.52,247042.88,0.02,1.1124061513938124
2019-02-01,20035,Dbs Bank India Limited,298,17059,17357,0.16,933515.31,1304280.38,2237795.7,0.2,250,16350,16600,0.15,508406.53,1143041.01,1651447.54,0.15,0.7379795841059128
2019-02-01,20036,Dbs Bank India Limited,35,1192,1227,0.01,39184.76,105242.6,144427.36,0.01,24,776,800,0.01,14990.03,79796.69,94786.72,0.01,0.6562933782075641
2019-02-01,20037,Dcb Bank Ltd.,879,33736,34615,0.31,591569.41,561965.08,1153534.49,0.1,435,42000,42435,0.38,591989.25,628242.04,1220231.3,0.11,1.057819519553334
2019-02-01,20038,Dena Bank,3553,57931,61484,0.55,1225270.26,888240.2,2113510.46,0.19,3517,69489,73006,0.66,1434191.1,1016113.68,2450304.78,0.22,1.1593530414796243
2019-02-01,20039,Deogiri Nagari Sahakari Bank Ltd Aurangabad,0,593,593,0.01,55675.56,8172.67,8172.67,0.0,0,623,623,0.01,104583.235,6330.02,6330.02,0.0,0.7745351274430511
2019-02-01,20040,Deposit Insurance And Credit Guarantee Corporation,1,4,5,0.0,30.59,55.0,85.59,0.0,0,0,0,0.02,104583.235,97058.61499999999,185535.5,0.02,2167.7240331814464
2019-02-01,20042,Dhanlaxmi Bank Ltd.,926,9594,10520,0.09,43061.34,152036.6,195097.94,0.02,328,14208,14536,0.13,34067.06,190295.77,224362.83,0.02,1.1500010200005186
2019-02-01,20043,Dmk Jaoli Sahakari Bank Ltd.,1,308,309,0.0,2.6,1795.48,1798.08,0.0,0,610,610,0.01,104583.235,3350.23,3350.23,0.0,1.863226330307884
2019-02-01,20044,Doha Bank,12,87,99,0.0,17020.04,10441.37,27461.4,0.0,17,352,369,0.0,13873.57,23566.86,37440.43,0.0,1.3633838770055422
2019-02-01,20045,Dombivli Nagari Sahakari Bank,92,2275,2367,0.02,10659.84,66798.85,77458.69,0.01,0,2972,2972,0.03,104583.235,70355.68,70355.68,0.01,0.9082993786752653
2019-02-01,20046,Durgapur Steel Peoples' Co-Op Bank Ltd,0,34,34,0.0,55675.56,212.54,212.54,0.0,0,120,120,0.0,104583.235,771.33,771.33,0.0,3.6291051096264235
2019-02-01,20047,Emirates Nbd Bank Pjsc,16,10,26,0.0,30235.51,2752.42,32987.93,0.0,37,100,137,0.0,35000.12,89103.91,124104.03,0.01,3.7621041999300955
2019-02-01,20048,Equitas Small Finance Bank Ltd.,235,7017,7252,0.07,21092.0,212292.16,233384.16,0.02,17,9449,9466,0.09,12074.62,276848.6,288923.21,0.03,1.237972662754833
2019-02-01,20049,Esaf Small Finance Bank Ltd.,50,876,926,0.01,169104.42,47429.05,216533.47,0.02,66,740,806,0.01,174534.89,30349.41,204884.3,0.02,0.9462015271819179
2019-02-01,20050,Export Import Bank Of India,3,365,368,0.0,28334.36,922930.69,951265.05,0.08,24,84,108,0.0,34451.68,949047.61,983499.29,0.09,1.0338856557381142
2019-02-01,20052,Fincare Small Finance Bank Limited,44,287,331,0.0,134014.86,36431.02,170445.88,0.02,20,333,353,0.0,45020.0,112658.6,157678.6,0.01,0.9250948160201936
2019-02-01,20053,Fino Payments Bank Limited,0,2471,2471,0.02,55675.56,92058.61,92058.61,0.01,0,0,0,0.02,104583.235,97058.61499999999,185535.5,0.02,2.015406272156401
2019-02-01,20054,First Abu Dhabi Bank Pjsc,14,4,18,0.0,32659.53,22858.11,55517.64,0.0,9,18,27,0.0,71876.46,12456.66,84333.12,0.01,1.5190328695528124
2019-02-01,20055,First Rand Bank Ltd,27,55,82,0.0,125541.46,43769.52,169310.98,0.02,28,78,106,0.0,142227.05,59373.82,201600.87,0.02,1.1907135024556588
